product_id,product_name,category,cost,price,margin,inventory_count,created_at
PRD-00001,AeroPulse Wireless Headphones,Electronics,176.63,320.99,144.36,748,2024-12-01
PRD-00002,ProStream HD Webcam,Electronics,113.88,203.99,90.11,545,2024-12-01
PRD-00003,OmniCharge 65W GaN Charger,Electronics,212.61,350.49,137.88,205,2024-12-01
PRD-00004,SoundSphere Bluetooth Speaker,Electronics,168.07,294.49,126.42,685,2024-12-01
PRD-00005,ClarityView 27-inch Monitor,Electronics,47.75,82.99,35.24,552,2024-12-01
PRD-00006,KeyCraft Mechanical Keyboard,Electronics,223.93,391.99,168.06,594,2024-12-01
PRD-00007,GlideOptix Wireless Mouse,Electronics,172.8,316.99,144.19,545,2024-12-01
PRD-00008,PowerVault 20000mAh PowerBank,Electronics,186.16,325.99,139.83,537,2024-12-01
PRD-00009,HyperDrive 1TB Portable SSD,Electronics,52.51,94.99,42.48,213,2024-12-01
PRD-00010,AuraRGB LED Desk Lamp,Electronics,120.07,207.99,87.92,541,2024-12-01
PRD-00011,NanoLite Noise-Cancelling Earbuds,Electronics,102.31,179.99,77.68,706,2024-12-01
PRD-00012,UltraCast 4K Streaming Stick,Electronics,207.75,374.49,166.74,362,2024-12-01
PRD-00013,SmartHome Mini Hub,Electronics,176.16,275.99,99.83,571,2024-12-01
PRD-00014,FlexArm Dual Monitor Mount,Electronics,200.36,337.99,137.63,171,2024-12-01
PRD-00015,PulseFit Smart Fitness Tracker,Electronics,123.35,205.99,82.64,393,2024-12-01
PRD-00016,EchoWave Conference Speakerphone,Electronics,78.72,129.99,51.27,455,2024-12-01
PRD-00017,VividCapture 4K Capture Card,Electronics,144.79,244.99,100.2,837,2024-12-01
PRD-00018,ThermoGuard Smart Thermostat,Electronics,37.97,72.99,35.02,300,2024-12-01
PRD-00019,ProGamer Wired Headset,Electronics,208.97,339.99,131.02,343,2024-12-01
PRD-00020,SafeShield USB-C Security Key,Electronics,147.22,271.99,124.77,435,2024-12-01
PRD-00021,Classic Merino Wool Crewneck,Apparel,46.3,114.99,68.69,842,2024-12-01
PRD-00022,Everyday Flex Chino Pant,Apparel,20.52,49.99,29.47,556,2024-12-01
PRD-00023,Waterproof Commuter Jacket,Apparel,14.2,31.99,17.79,462,2024-12-01
PRD-00024,Breathable Mesh Running Tee,Apparel,26.28,54.99,28.71,392,2024-12-01
PRD-00025,All-Season Denim Jacket,Apparel,23.35,55.99,32.64,578,2024-12-01
PRD-00026,EcoWarm Recycled Fleece,Apparel,41.91,94.99,53.08,563,2024-12-01
PRD-00027,Tailored Oxford Dress Shirt,Apparel,34.49,83.99,49.5,356,2024-12-01
PRD-00028,Essential Cotton Crew Socks 3-Pack,Apparel,45.05,107.49,62.44,165,2024-12-01
PRD-00029,Urban Active Jogger Pants,Apparel,33.63,94.49,60.86,256,2024-12-01
PRD-00030,Thermal Ribbed Beanie,Apparel,29.21,67.99,38.78,820,2024-12-01
PRD-00031,Packable Windbreaker Jacket,Apparel,51.16,110.99,59.83,442,2024-12-01
PRD-00032,Heritage Canvas Weekender Bag,Apparel,17.54,42.49,24.95,487,2024-12-01
PRD-00033,Seamless Workout Leggings,Apparel,11.51,27.99,16.48,476,2024-12-01
PRD-00034,Vintage Washed Graphic Hoodie,Apparel,12.79,34.99,22.2,697,2024-12-01
PRD-00035,StormProof Rain Shell,Apparel,39.04,100.99,61.95,195,2024-12-01
PRD-00036,ComfortFit Lounge Sweatpants,Apparel,30.02,73.99,43.97,207,2024-12-01
PRD-00037,Lightweight Linen Summer Shirt,Apparel,15.18,41.99,26.81,343,2024-12-01
PRD-00038,UV Protection Outdoor Cap,Apparel,36.23,77.49,41.26,490,2024-12-01
PRD-00039,Heavyweight Loopback Sweatshirt,Apparel,18.26,40.99,22.73,619,2024-12-01
PRD-00040,Merino Wool Blend Scarf,Apparel,45.24,98.99,53.75,493,2024-12-01
PRD-00041,Precision Pour-Over Coffee Kettle,Home & Kitchen,84.81,180.99,96.18,453,2024-12-01
PRD-00042,Cast Iron Pre-Seasoned Skillet 10in,Home & Kitchen,52.18,121.99,69.81,250,2024-12-01
PRD-00043,Stainless Steel Mixing Bowl Set,Home & Kitchen,49.95,105.99,56.04,804,2024-12-01
PRD-00044,Cold Brew Glass Carafe 1.5L,Home & Kitchen,36.23,72.99,36.76,159,2024-12-01
PRD-00045,ChefSeries 8-inch Chef Knife,Home & Kitchen,36.38,83.49,47.11,271,2024-12-01
PRD-00046,AromaMist Essential Oil Diffuser,Home & Kitchen,52.53,113.49,60.96,310,2024-12-01
PRD-00047,Silicone Cooking Utensil 8-Piece Set,Home & Kitchen,42.27,100.99,58.72,345,2024-12-01
PRD-00048,Double-Walled Espresso Glasses 4-Pack,Home & Kitchen,15.83,33.49,17.66,242,2024-12-01
PRD-00049,Bamboo Cutting Board with Juice Groove,Home & Kitchen,86.22,162.99,76.77,162,2024-12-01
PRD-00050,Heavyweight French Fry Press,Home & Kitchen,93.04,173.99,80.95,624,2024-12-01
PRD-00051,Digital Instant-Read Meat Thermometer,Home & Kitchen,21.94,52.99,31.05,828,2024-12-01
PRD-00052,Vacuum Insulated Travel Tumbler 20oz,Home & Kitchen,48.71,118.49,69.78,235,2024-12-01
PRD-00053,Under-Cabinet LED Strip Lighting,Home & Kitchen,23.38,47.99,24.61,357,2024-12-01
PRD-00054,Non-Stick Ceramic Baking Sheet Set,Home & Kitchen,68.35,137.99,69.64,504,2024-12-01
PRD-00055,UltraSoft Bamboo Cotton Towel Set,Home & Kitchen,31.61,74.99,43.38,799,2024-12-01
PRD-00056,AirTight Food Storage Canister 5-Pack,Home & Kitchen,71.03,135.49,64.46,635,2024-12-01
